"Año";"Periodo";"Ambos sexos";"Hombres";"Mujeres"
"1975";"Año";"73,44";"70,53";"76,25"
"1976";"Año";"73,76";"70,81";"76,61"
"1977";"Año";"74,24";"71,27";"77,12"
"1978";"Año";"74,44";"71,41";"77,37"
"1979";"Año";"74,91";"71,81";"77,91"
"1980";"Año";"75,44";"72,36";"78,41"
"1981";"Año";"75,61";"72,51";"78,63"
"1982";"Año";"76,22";"73,15";"79,19"
"1983";"Año";"76,02";"72,94";"79"
"1984";"Año";"76,39";"73,18";"79,51"
"1985";"Año";"76,34";"73,08";"79,54"
"1986";"Año";"76,61";"73,4";"79,75"
"1987";"Año";"76,84";"73,55";"80,07"
"1988";"Año";"76,86";"73,52";"80,15"
"1989";"Año";"76,9";"73,42";"80,36"
"1990";"Año";"76,91";"73,4";"80,41"
"1991";"Año";"77,07";"73,49";"80,65"
"1992";"Año";"77,51";"73,89";"81,14"
"1993";"Año";"77,66";"74,09";"81,23"
"1994";"Año";"78,03";"74,47";"81,6"
"1995";"Año";"78,12";"74,53";"81,72"
"1996";"Año";"78,26";"74,66";"81,88"
"1997";"Año";"78,76";"75,29";"82,23"
"1998";"Año";"78,87";"75,42";"82,31"
"1999";"Año";"78,87";"75,43";"82,32"
"2000";"Año";"79,34";"75,93";"82,73"
"2001";"Año";"79,67";"76,27";"83,05"
"2002";"Año";"79,76";"76,38";"83,14"
"2003";"Año";"79,7";"76,41";"82,99"
"2004";"Año";"80,29";"76,98";"83,57"
"2005";"Año";"80,28";"77,02";"83,54"
"2006";"Año";"80,94";"77,71";"84,15"
"2007";"Año";"80,97";"77,78";"84,14"
"2008";"Año";"81,3";"78,22";"84,33"
"2009";"Año";"81,66";"78,62";"84,65"
"2010";"Año";"82,07";"79,05";"85,03"
"2011";"Año";"82,25";"79,3";"85,13"
"2012";"Año";"82,27";"79,37";"85,1"
"2013";"Año";"82,78";"79,94";"85,54"
"2014";"Año";"82,92";"80,12";"85,64"
"2015";"Año";"82,7";"79,92";"85,41"
"2016";"Año";"83,11";"80,31";"85,84"
"2017";"Año";"83,09";"80,37";"85,73"
"2018";"Año";"83,19";"80,46";"85,85"
"2019";"Año";"83,58";"80,86";"86,22"
"2020";"Año";"82,33";"79,59";"85,06"
"2021";"Año";"83,07";"80,27";"85,83"
;;;;
;;;;
"Métrica":"Ambos sexos"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Hombres"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Mujeres"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Edad"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://www.epdata.es/esperanza-vida-nacer/37e65dab-897a-4a89-be2d-2fb38a2b86a4"
"Titulo":"Evolución de la esperanza de vida de los españoles desde 1975"
"Subtitulo":""
